model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,84.0,buffered,0.15,3,none
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.003852210205246541,0.08567879001938206,-0.04496107151344111,-0.22127763799406402,-0.017701823086013868,-0.017701823086013868,0.24666913397483345,,0.0,84.0,buffered,0.15,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.0250261290937358,0.06473798556857521,-0.3865756537516339,-0.30729983296596985,-0.11500102178788119,-0.11500102178788119,0.21761658031088082,,0.0,84.0,buffered,0.1,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.0482733360496516,0.06506645777047054,-0.7419081613439198,-0.370307832530074,-0.22182747279958953,-0.22182747279958953,0.1924500370096225,,0.0,84.0,buffered,0.15,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.07797532344333513,0.08603105772141904,-0.9063624870896096,-0.7197571003634969,-0.35831517677532576,-0.35831517677532576,0.1678386380458919,,0.0,84.0,buffered,0.1,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.0824288403712299,0.08524257052648003,-0.9669914910135651,-0.7252244893428865,-0.37878014742017546,-0.37878014742017546,0.1376757957068838,,0.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.11311191196242731,0.07857935010791557,-1.4394610264285344,-0.7211848404180191,-0.5197761668749636,-0.5197761668749636,0.10122131754256106,,0.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.11549452913384362,0.07386218146342302,-1.5636490399493164,-0.7094500111680907,-0.5307248600674243,-0.5307248600674243,0.12953367875647667,,0.0,84.0,buffered,0.1,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14395076580829622,0.09683616570114338,-1.4865392982675325,-0.8577232616908892,-0.6614880428809802,-0.6614880428809802,0.003330866025166543,,0.0,84.0,buffered,0.15,3,none
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14395076580829622,0.09683616570114338,-1.4865392982675325,-0.8577232616908892,-0.6614880428809802,-0.6614880428809802,0.003330866025166543,,0.0,84.0,buffered,0.15,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.1482563437994021,0.08817218250222368,-1.6814412390853897,-0.8379144498867037,-0.6812731988877287,-0.6812731988877287,0.0042561065877128055,,0.0,84.0,buffered,0.1,3,none
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.1482563437994021,0.08817218250222368,-1.6814412390853897,-0.8379144498867037,-0.6812731988877287,-0.6812731988877287,0.0042561065877128055,,0.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.05212767680243367,0.06693024810925138,0.7788358518758929,-0.1686658513366782,0.30321765768737374,0.23953908625880235,0.329940784603997,,5.0,84.0,buffered,0.1,3,none
